"No.","Time","Source","Destination","Protocol","Length","DateTime"
"4564","1540486029.048315","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 16:47:09.048315"
"4568","1540486035.853439","192.168.1.1","192.168.1.132","DNS","353","2018-10-25 16:47:15.853439"
"4570","1540486035.855683","2.16.60.82","192.168.1.132","TCP","66","2018-10-25 16:47:15.855683"
"4575","1540486035.857183","2.16.60.82","192.168.1.132","TCP","60","2018-10-25 16:47:15.857183"
"4586","1540486059.128417","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 16:47:39.128417"
"4590","1540486088.028191","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 16:48:08.028191"
"4599","1540486118.088553","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 16:48:38.088553"
"4603","1540486148.168161","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 16:49:08.168161"
"4613","1540486178.281989","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 16:49:38.281989"
"4623","1540486208.163458","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 16:50:08.163458"
"4626","1540486238.248552","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 16:50:38.248552"
"4636","1540486268.328155","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 16:51:08.328155"
"4640","1540486298.408258","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 16:51:38.408258"
"4650","1540486328.300468","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 16:52:08.300468"
"4659","1540486358.328349","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 16:52:38.328349"
"4663","1540486388.408200","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 16:53:08.408200"
"4673","1540486418.488302","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 16:53:38.488302"
"4677","1540486448.437227","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 16:54:08.437227"
"4686","1540486478.488345","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 16:54:38.488345"
"4690","1540486508.567946","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 16:55:08.567946"
"4700","1540486538.648047","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 16:55:38.648047"
"4710","1540486568.575985","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 16:56:08.575985"
"4713","1540486598.648092","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 16:56:38.648092"
"4723","1540486628.728193","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 16:57:08.728193"
"4727","1540486658.808060","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 16:57:38.808060"
"4737","1540486688.712280","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 16:58:08.712280"
"4742","1540486718.808138","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 16:58:38.808138"
"4752","1540486748.888256","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 16:59:08.888256"
"4762","1540486778.968125","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 16:59:38.968125"
"4766","1540486808.872106","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:00:08.872106"
"4777","1540486838.968446","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:00:38.968446"
"4781","1540486869.048311","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:01:09.048311"
"4791","1540486899.128175","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:01:39.128175"
"4795","1540486924.846775","192.168.1.1","192.168.1.132","DNS","221","2018-10-25 17:02:04.846775"
"4797","1540486924.852021","192.168.1.1","192.168.1.132","DNS","484","2018-10-25 17:02:04.852021"
"4812","1540486924.943465","192.168.1.1","192.168.1.132","DNS","142","2018-10-25 17:02:04.943465"
"4814","1540486924.944465","192.168.1.1","192.168.1.132","DNS","174","2018-10-25 17:02:04.944465"
"4835","1540486929.005669","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:02:09.005669"
"4840","1540486935.978692","192.168.1.1","192.168.1.132","DNS","339","2018-10-25 17:02:15.978692"
"4842","1540486935.980927","2.16.60.139","192.168.1.132","TCP","66","2018-10-25 17:02:15.980927"
"4845","1540486935.982676","2.16.60.139","192.168.1.132","TCP","60","2018-10-25 17:02:15.982676"
"4848","1540486959.127990","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:02:39.127990"
"4856","1540486989.208351","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:03:09.208351"
"4860","1540487019.287963","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:03:39.287963"
"4870","1540487048.142022","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:04:08.142022"
"4873","1540487078.168168","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:04:38.168168"
"4883","1540487108.248025","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:05:08.248025"
"4887","1540487126.084862","216.239.35.0","192.168.1.132","NTP","90","2018-10-25 17:05:26.084862"
"4897","1540487138.328134","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:05:38.328134"
"4899","1540487168.279068","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:06:08.279068"
"4910","1540487198.328195","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:06:38.328195"
"4914","1540487228.408054","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:07:08.408054"
"4924","1540487258.488163","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:07:38.488163"
"4928","1540487288.414858","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:08:08.414858"
"4939","1540487318.488222","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:08:38.488222"
"4943","1540487336.201126","216.239.35.8","192.168.1.132","NTP","90","2018-10-25 17:08:56.201126"
"4953","1540487348.568328","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:09:08.568328"
"4957","1540487378.648185","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:09:38.648185"
"4967","1540487408.551393","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:10:08.551393"
"4972","1540487438.647989","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:10:38.647989"
"4982","1540487463.415626","216.239.35.4","192.168.1.132","NTP","90","2018-10-25 17:11:03.415626"
"4986","1540487468.728345","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:11:08.728345"
"4994","1540487498.808201","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:11:38.808201"
"4998","1540487528.688423","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:12:08.688423"
"5009","1540487558.808505","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:12:38.808505"
"5011","1540487588.888361","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:13:08.888361"
"5021","1540487618.968469","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:13:38.968469"
"5025","1540487648.846437","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:14:08.846437"
"5034","1540487678.968270","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:14:38.968270"
"5044","1540487709.048377","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:15:09.048377"
"5048","1540487739.128480","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:15:39.128480"
"5058","1540487768.981484","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:16:08.981484"
"5061","1540487799.048828","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:16:39.048828"
"5071","1540487829.128683","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:17:09.128683"
"5075","1540487836.017276","192.168.1.1","192.168.1.132","DNS","339","2018-10-25 17:17:16.017276"
"5077","1540487836.019753","2.16.60.139","192.168.1.132","TCP","66","2018-10-25 17:17:16.019753"
"5080","1540487836.022003","2.16.60.139","192.168.1.132","TCP","60","2018-10-25 17:17:16.022003"
"5083","1540487859.208294","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:17:39.208294"
"5091","1540487888.114562","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:18:08.114562"
"5096","1540487907.785368","216.239.35.12","192.168.1.132","NTP","90","2018-10-25 17:18:27.785368"
"5104","1540487918.168437","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:18:38.168437"
"5108","1540487948.248534","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:19:08.248534"
"5118","1540487978.328888","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:19:38.328888"
"5122","1540488008.253330","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:20:08.253330"
"5133","1540488038.328437","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:20:38.328437"
"5143","1540488068.408292","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:21:08.408292"
"5147","1540488098.488396","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:21:38.488396"
"5157","1540488128.388602","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:22:08.388602"
"5162","1540488158.488445","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:22:38.488445"
"5172","1540488188.568799","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:23:08.568799"
"5176","1540488218.648422","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:23:38.648422"
"5186","1540488248.526872","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:24:08.526872"
"5197","1540488278.648452","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:24:38.648452"
"5201","1540488308.728557","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:25:08.728557"
"5211","1540488338.808410","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:25:38.808410"
"5215","1540488368.665397","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:26:08.665397"
"5226","1540488398.728502","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:26:38.728502"
"5230","1540488428.822099","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:27:08.822099"
"5240","1540488458.888709","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:27:38.888709"
"5250","1540488488.821396","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:28:08.821396"
"5255","1540488518.888506","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:28:38.888506"
"5265","1540488549.014334","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:29:09.014334"
"5269","1540488579.048463","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:29:39.048463"
"5279","1540488608.957415","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:30:08.957415"
"5290","1540488639.048511","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:30:39.048511"
"5294","1540488669.128365","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:31:09.128365"
"5304","1540488699.208276","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:31:39.208276"
"5308","1540488728.091895","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:32:08.091895"
"5313","1540488736.141342","192.168.1.1","192.168.1.132","DNS","339","2018-10-25 17:32:16.141342"
"5315","1540488736.143323","2.16.60.82","192.168.1.132","TCP","66","2018-10-25 17:32:16.143323"
"5320","1540488736.145323","2.16.60.82","192.168.1.132","TCP","60","2018-10-25 17:32:16.145323"
"5329","1540488758.168586","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:32:38.168586"
"5333","1540488788.248775","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:33:08.248775"
"5343","1540488818.328685","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:33:38.328685"
"5353","1540488848.229211","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:34:08.229211"
"5358","1540488878.328617","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:34:38.328617"
"5368","1540488908.409783","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:35:08.409783"
"5372","1540488938.489194","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:35:38.489194"
"5382","1540488968.364971","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:36:08.364971"
"5387","1540488998.489101","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:36:38.489101"
"5395","1540489028.569506","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:37:08.569506"
"5405","1540489058.649158","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:37:38.649158"
"5409","1540489088.502437","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:38:08.502437"
"5418","1540489118.569593","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:38:38.569593"
"5422","1540489148.682975","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:39:08.682975"
"5432","1540489178.729634","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:39:38.729634"
"5438","1540489208.638373","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:40:08.638373"
"5445","1540489209.996614","216.239.35.0","192.168.1.132","NTP","90","2018-10-25 17:40:09.996614"
"5447","1540489238.729759","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:40:38.729759"
"5457","1540489268.809648","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:41:08.809648"
"5461","1540489298.889536","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:41:38.889536"
"5471","1540489328.774533","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:42:08.774533"
"5474","1540489358.809691","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:42:38.809691"
"5484","1540489388.889573","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:43:08.889573"
"5494","1540489418.969957","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:43:38.969957"
"5498","1540489443.114716","216.239.35.8","192.168.1.132","NTP","90","2018-10-25 17:44:03.114716"
"5502","1540489448.929406","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:44:08.929406"
"5513","1540489478.969809","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:44:38.969809"
"5517","1540489509.050187","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:45:09.050187"
"5527","1540489539.130315","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:45:39.130315"
"5531","1540489568.063346","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:46:08.063346"
"5542","1540489596.329757","216.239.35.4","192.168.1.132","NTP","90","2018-10-25 17:46:36.329757"
"5544","1540489598.169713","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:46:38.169713"
"5554","1540489628.249834","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:47:08.249834"
"5558","1540489636.347230","192.168.1.1","192.168.1.132","DNS","339","2018-10-25 17:47:16.347230"
"5560","1540489636.349222","2.16.60.82","192.168.1.132","TCP","66","2018-10-25 17:47:16.349222"
"5563","1540489636.351220","2.16.60.82","192.168.1.132","TCP","60","2018-10-25 17:47:16.351220"
"5568","1540489658.329959","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:47:38.329959"
"5576","1540489688.202704","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:48:08.202704"
"5581","1540489718.330049","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:48:38.330049"
"5591","1540489748.409939","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:49:08.409939"
"5595","1540489778.489796","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:49:38.489796"
"5605","1540489808.339299","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:50:08.339299"
"5616","1540489838.409924","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:50:38.409924"
"5620","1540489868.490044","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:51:08.490044"
"5630","1540489898.570164","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:51:38.570164"
"5634","1540489928.476633","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:52:08.476633"
"5645","1540489958.570244","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:52:38.570244"
"5647","1540489988.650114","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:53:08.650114"
"5657","1540490018.730232","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:53:38.730232"
"5667","1540490044.699447","216.239.35.12","192.168.1.132","NTP","90","2018-10-25 17:54:04.699447"
"5669","1540490048.613711","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:54:08.613711"
"5672","1540490078.650106","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:54:38.650106"
"5682","1540490108.730224","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:55:08.730224"
"5686","1540490138.810344","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:55:38.810344"
"5696","1540490168.750790","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:56:08.750790"
"5703","1540490198.810168","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:56:38.810168"
"5709","1540490228.890286","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:57:08.890286"
"5719","1540490258.970167","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:57:38.970167"
"5723","1540490288.903352","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 17:58:08.903352"
"5734","1540490318.970224","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:58:38.970224"
"5738","1540490349.050338","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:59:09.050338"
"5748","1540490379.130203","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 17:59:39.130203"
"5758","1540490408.149174","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 18:00:08.149174"
"5763","1540490438.170327","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:00:38.170327"
"5773","1540490468.250187","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:01:08.250187"
"5777","1540490498.330301","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:01:38.330301"
"5787","1540490524.898669","192.168.1.1","192.168.1.132","DNS","221","2018-10-25 18:02:04.898669"
"5789","1540490524.903416","192.168.1.1","192.168.1.132","DNS","484","2018-10-25 18:02:04.903416"
"5804","1540490524.994111","192.168.1.1","192.168.1.132","DNS","142","2018-10-25 18:02:04.994111"
"5806","1540490524.995111","192.168.1.1","192.168.1.132","DNS","174","2018-10-25 18:02:04.995111"
"5821","1540490528.176305","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 18:02:08.176305"
"5826","1540490536.457835","192.168.1.1","192.168.1.132","DNS","339","2018-10-25 18:02:16.457835"
"5828","1540490536.460079","2.16.60.139","192.168.1.132","TCP","66","2018-10-25 18:02:16.460079"
"5831","1540490536.461829","2.16.60.139","192.168.1.132","TCP","60","2018-10-25 18:02:16.461829"
"5840","1540490558.250418","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:02:38.250418"
"5844","1540490588.330282","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:03:08.330282"
"5854","1540490618.410400","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:03:38.410400"
"5858","1540490648.312114","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 18:04:08.312114"
"5869","1540490678.330264","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:04:38.330264"
"5873","1540490708.410379","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:05:08.410379"
"5883","1540490738.490200","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:05:38.490200"
"5893","1540490768.449769","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 18:06:08.449769"
"5898","1540490798.490295","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:06:38.490295"
"5906","1540490828.570304","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:07:08.570304"
"5910","1540490858.650069","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:07:38.650069"
"5920","1540490888.585922","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 18:08:08.585922"
"5923","1540490918.649956","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:08:38.649956"
"5933","1540490948.729735","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:09:08.729735"
"5943","1540490978.809767","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:09:38.809767"
"5947","1540491008.760129","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:10:08.760129"
"5948","1540491008.853077","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 18:10:08.853077"
"5957","1540491038.969595","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:10:38.969595"
"5961","1540491069.049638","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:11:09.049638"
"5971","1540491099.129438","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:11:39.129438"
"5981","1540491128.875692","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:12:08.875692"
"5982","1540491128.875700","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 18:12:08.875700"
"5985","1540491158.969473","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:12:38.969473"
"5995","1540491189.049292","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:13:09.049292"
"5999","1540491219.129584","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:13:39.129584"
"6009","1540491249.011512","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 18:14:09.011512"
"6014","1540491279.129046","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:14:39.129046"
"6024","1540491309.209110","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:15:09.209110"
"6034","1540491339.289176","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:15:39.289176"
"6038","1540491368.147441","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 18:16:08.147441"
"6043","1540491382.905762","216.239.35.0","192.168.1.132","NTP","90","2018-10-25 18:16:22.905762"
"6051","1540491398.169049","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:16:38.169049"
"6055","1540491428.249117","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:17:08.249117"
"6059","1540491436.496908","192.168.1.1","192.168.1.132","DNS","339","2018-10-25 18:17:16.496908"
"6061","1540491436.499153","2.16.60.139","192.168.1.132","TCP","66","2018-10-25 18:17:16.499153"
"6066","1540491436.500904","2.16.60.139","192.168.1.132","TCP","60","2018-10-25 18:17:16.500904"
"6075","1540491458.328939","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:17:38.328939"
"6077","1540491488.284835","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 18:18:08.284835"
"6088","1540491498.023026","216.239.35.8","192.168.1.132","NTP","90","2018-10-25 18:18:18.023026"
"6090","1540491518.328931","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:18:38.328931"
"6100","1540491548.409009","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:19:08.409009"
"6104","1540491578.489088","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:19:38.489088"
"6114","1540491608.415256","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 18:20:08.415256"
"6119","1540491638.488841","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:20:38.488841"
"6129","1540491668.568923","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:21:08.568923"
"6131","1540491670.236990","216.239.35.4","192.168.1.132","NTP","90","2018-10-25 18:21:10.236990"
"6141","1540491698.648756","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:21:38.648756"
"6145","1540491728.548443","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 18:22:08.548443"
"6156","1540491758.717480","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:22:38.717480"
"6160","1540491788.729099","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:23:08.729099"
"6170","1540491818.808934","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:23:38.808934"
"6174","1540491848.685139","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 18:24:08.685139"
"6183","1540491878.808950","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:24:38.808950"
"6193","1540491908.889039","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:25:08.889039"
"6197","1540491938.968878","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:25:38.968878"
"6207","1540491968.876815","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:26:08.876815"
"6208","1540491970.535374","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 18:26:10.535374"
"6211","1540492000.548996","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:26:40.548996"
"6221","1540492030.648826","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:27:10.648826"
"6225","1540492060.729169","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:27:40.729169"
"6235","1540492088.972573","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:28:08.972573"
"6236","1540492088.972581","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 18:28:08.972581"
"6247","1540492115.605387","216.239.35.12","192.168.1.132","NTP","90","2018-10-25 18:28:35.605387"
"6249","1540492119.048901","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:28:39.048901"
"6253","1540492149.128997","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:29:09.128997"
"6263","1540492179.208839","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:29:39.208839"
"6267","1540492208.108355","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 18:30:08.108355"
"6278","1540492238.168964","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:30:38.168964"
"6282","1540492268.248801","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:31:08.248801"
"6292","1540492298.328895","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:31:38.328895"
"6302","1540492328.247082","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 18:32:08.247082"
"6307","1540492336.607067","192.168.1.1","192.168.1.132","DNS","339","2018-10-25 18:32:16.607067"
"6309","1540492336.609561","2.16.60.139","192.168.1.132","TCP","66","2018-10-25 18:32:16.609561"
"6312","1540492336.611310","2.16.60.139","192.168.1.132","TCP","60","2018-10-25 18:32:16.611310"
"6315","1540492358.328925","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:32:38.328925"
"6325","1540492388.409021","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:33:08.409021"
"6329","1540492418.489115","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:33:38.489115"
"6339","1540492448.384066","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 18:34:08.384066"
"6344","1540492478.488899","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:34:38.488899"
"6354","1540492508.569244","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:35:08.569244"
"6364","1540492538.648857","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:35:38.648857"
"6368","1540492568.521056","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 18:36:08.521056"
"6379","1540492598.569171","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:36:38.569171"
"6383","1540492628.649034","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 18:37:08.649034"
